,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
279,SELL,2017-08-21 13:45:00+05:30,24104.25,24111.1,24067.0,24078.7,0,24123.76,24133.93,24136.63,24152.18,24.12,30.28,24168.1,24094.05,24067.0,2017-08-21 13:45:00+05:30,BANNNIFTY 50_v2_v2,24084.35,2017-08-23 09:15:00+05:30
280,BUY,2017-08-23 11:55:00+05:30,24165.85,24185.25,24155.1,24184.85,0,24144.18,24101.98,24070.07,24072.7,30.64,65.98,24169.2,24111.65,24185.25,2017-08-23 11:55:00+05:30,BANNNIFTY 50_v2_v2,24262.9,2017-08-29 09:15:00+05:30
281,SELL,2017-08-29 11:05:00+05:30,24178.25,24184.7,24168.45,24171.65,0,24219.31,24270.79,24295.33,24276.97,42.64,32.14,24275.3,24175.25,24168.45,2017-08-29 11:05:00+05:30,BANNNIFTY 50_v2_v2,24287.95,2017-08-30 09:15:00+05:30
282,BUY,2017-08-30 11:50:00+05:30,24346.55,24362.2,24339.3,24357.55,0,24321.42,24279.94,24261.21,24255.35,39.52,70.99,24346.8,24290.1,24362.2,2017-08-30 11:50:00+05:30,BANNNIFTY 50_v2_v2,24270.6,2017-08-31 09:15:00+05:30
283,BUY,2017-09-01 10:05:00+05:30,24410.5,24430.35,24407.05,24425.65,0,24353.79,24319.14,24300.26,24286.46,22.74,70.69,24418.55,24274.65,24430.35,2017-09-01 10:05:00+05:30,BANNNIFTY 50_v2_v2,24356.55,2017-09-04 09:20:00+05:30
284,SELL,2017-09-04 12:00:00+05:30,24242.85,24242.85,24185.7,24212.65,0,24296.99,24343.6,24362.91,24350.61,44.63,16.25,24347.9,24236.05,24185.7,2017-09-04 12:00:00+05:30,BANNNIFTY 50_v2_v2,24316.4,2017-09-05 09:25:00+05:30
285,BUY,2017-09-05 14:30:00+05:30,24353.6,24373.25,24348.95,24365.7,0,24330.79,24319.11,24313.91,24315.92,24.91,66.64,24363.15,24288.9,24373.25,2017-09-05 14:30:00+05:30,BANNNIFTY 50_v2_v2,24308.35,2017-09-05 15:25:00+05:30
286,BUY,2017-09-07 14:00:00+05:30,24365.0,24381.4,24364.1,24379.8,0,24349.08,24341.6,24327.51,24315.31,22.09,70.22,24374.8,24309.2,24381.4,2017-09-07 14:00:00+05:30,BANNNIFTY 50_v2_v2,24277.15,2017-09-07 15:20:00+05:30
287,BUY,2017-09-11 11:10:00+05:30,24501.4,24545.4,24500.85,24529.35,0,24479.34,24432.78,24395.98,24364.78,30.02,69.36,24506.55,24463.05,24545.4,2017-09-11 11:10:00+05:30,BANNNIFTY 50_v2_v2,24837.85,2017-09-15 09:35:00+05:30
288,BUY,2017-09-18 09:15:00+05:30,24948.15,25050.15,24948.15,25044.65,0,24877.92,24867.22,24868.5,24851.42,23.36,76.09,24916.4,24820.75,25050.15,2017-09-18 09:15:00+05:30,BANNNIFTY 50_v2_v2,25002.65,2017-09-20 09:25:00+05:30
