,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,close_above_ema50_cnt,close_below_ema50_cnt,ema50_above_ema200_cnt,ema50_below_ema200_cnt,entry_price,from,symbol,exit_price,to
819,SELL,2022-11-18 09:55:00+05:30,18303.75,18304.2,18291.85,18295.05,0,18338.44,18361.23,18371.36,18365.23,23.06,27.56,18405.15,18303.6,0,17,0,3,18291.85,2022-11-18 09:55:00+05:30,NIFTY 50_ema_adx_rsi_v1,18322.55,2022-11-18 15:10:00+05:30
820,SELL,2022-11-21 09:20:00+05:30,18210.55,18222.8,18181.75,18182.7,0,18262.05,18263.97,18285.41,18311.1,28.28,31.5,18327.35,18202.3,0,2,0,71,18181.75,2022-11-21 09:20:00+05:30,NIFTY 50_ema_adx_rsi_v1,18223.8,2022-11-22 12:15:00+05:30
821,BUY,2022-11-23 14:40:00+05:30,18291.7,18303.0,18291.0,18301.75,0,18284.85,18275.32,18259.6,18248.75,20.32,69.06,18295.85,18268.8,75,0,64,0,18303.0,2022-11-23 14:40:00+05:30,NIFTY 50_ema_adx_rsi_v1,18728.15,2022-12-02 09:25:00+05:30
822,SELL,2022-12-05 09:45:00+05:30,18654.25,18654.9,18632.7,18635.25,0,18673.46,18683.82,18702.38,18704.77,23.84,31.87,18723.85,18647.45,0,7,0,48,18632.7,2022-12-05 09:45:00+05:30,NIFTY 50_ema_adx_rsi_v1,18700.75,2022-12-05 12:20:00+05:30
823,SELL,2022-12-09 11:15:00+05:30,18554.25,18555.0,18538.1,18540.9,0,18576.0,18587.79,18590.66,18600.37,33.03,31.25,18635.3,18548.35,0,13,0,366,18538.1,2022-12-09 11:15:00+05:30,NIFTY 50_ema_adx_rsi_v1,18536.15,2022-12-13 09:15:00+05:30
824,BUY,2022-12-13 11:40:00+05:30,18576.35,18592.05,18574.55,18590.75,0,18552.21,18524.1,18510.99,18520.66,40.72,76.18,18587.6,18506.4,36,0,2,0,18592.05,2022-12-13 11:40:00+05:30,NIFTY 50_ema_adx_rsi_v1,18579.65,2022-12-15 09:30:00+05:30
825,SELL,2022-12-15 11:50:00+05:30,18565.15,18566.0,18555.45,18557.8,0,18575.56,18599.02,18611.44,18601.21,44.86,29.52,18593.7,18559.1,0,34,0,2,18555.45,2022-12-15 11:50:00+05:30,NIFTY 50_ema_adx_rsi_v1,18407.6,2022-12-19 14:55:00+05:30
826,SELL,2022-12-20 09:35:00+05:30,18257.3,18257.3,18214.25,18238.05,0,18350.52,18357.03,18359.48,18392.33,40.4,19.72,18431.25,18258.1,0,5,0,200,18214.25,2022-12-20 09:35:00+05:30,NIFTY 50_ema_adx_rsi_v1,18333.9,2022-12-20 14:50:00+05:30
827,SELL,2022-12-21 12:50:00+05:30,18289.65,18291.5,18273.75,18274.25,0,18324.72,18338.35,18333.24,18343.0,24.71,29.58,18387.05,18279.95,0,11,0,3,18273.75,2022-12-21 12:50:00+05:30,NIFTY 50_ema_adx_rsi_v1,18014.55,2022-12-26 14:15:00+05:30
828,BUY,2022-12-27 13:50:00+05:30,18092.65,18109.75,18092.65,18108.2,0,18062.16,18046.72,18027.21,18028.71,22.43,72.22,18096.15,18014.85,11,0,34,0,18109.75,2022-12-27 13:50:00+05:30,NIFTY 50_ema_adx_rsi_v1,18029.25,2022-12-29 09:15:00+05:30
