,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
11,BUY,2015-02-27 12:40:00+05:30,8767.45,8779.55,8766.2,8779.5,0,8760.51,8745.83,8743.46,8755.3,32.9,65.64,8778.6,8723.75,8779.55,2015-02-27 12:40:00+05:30,NIFTY 50_v1_v2,8785.1,2015-02-28 13:15:00+05:30
12,BUY,2015-02-28 14:50:00+05:30,8858.8,8881.75,8858.8,8880.95,0,8825.85,8836.66,8832.64,8814.68,22.26,64.07,8863.35,8751.6,8881.75,2015-02-28 14:50:00+05:30,NIFTY 50_v1_v2,8983.6,2015-03-04 14:30:00+05:30
13,SELL,2015-03-05 11:50:00+05:30,8906.8,8907.85,8896.7,8896.75,0,8921.85,8944.06,8966.61,8964.39,31.81,30.74,8939.4,8903.55,8896.7,2015-03-05 11:50:00+05:30,NIFTY 50_v1_v2,8952.05,2015-03-05 15:10:00+05:30
14,SELL,2015-03-09 09:15:00+05:30,8877.3,8877.3,8830.8,8836.15,0,8908.88,8909.18,8927.17,8940.74,29.8,32.07,8957.35,8869.65,8830.8,2015-03-09 09:15:00+05:30,NIFTY 50_v1_v2,8756.8,2015-03-12 09:20:00+05:30
15,BUY,2015-03-13 09:15:00+05:30,8844.05,8844.05,8816.3,8819.7,0,8770.75,8761.7,8753.64,8757.95,22.85,75.81,8786.2,8749.05,8844.05,2015-03-13 09:15:00+05:30,NIFTY 50_v1_v2,8737.3,2015-03-13 10:05:00+05:30
16,SELL,2015-03-13 11:30:00+05:30,8732.35,8732.45,8696.35,8700.8,0,8742.23,8753.33,8753.02,8757.07,35.44,30.08,8802.6,8724.65,8696.35,2015-03-13 11:30:00+05:30,NIFTY 50_v1_v2,8681.3,2015-03-17 09:45:00+05:30
17,SELL,2015-03-17 13:05:00+05:30,8657.55,8663.75,8642.0,8644.6,0,8684.81,8686.94,8680.21,8687.15,37.77,23.26,8737.35,8652.9,8642.0,2015-03-17 13:05:00+05:30,NIFTY 50_v1_v2,8702.75,2015-03-17 15:00:00+05:30
18,BUY,2015-03-19 09:15:00+05:30,8749.45,8752.65,8733.0,8738.55,0,8692.59,8696.24,8694.63,8692.51,25.59,70.01,8704.95,8664.35,8752.65,2015-03-19 09:15:00+05:30,NIFTY 50_v1_v2,8705.25,2015-03-19 14:25:00+05:30
19,SELL,2015-03-19 14:55:00+05:30,8688.05,8688.95,8655.1,8658.95,0,8715.97,8728.92,8726.73,8716.57,38.03,19.12,8754.85,8678.15,8655.1,2015-03-19 14:55:00+05:30,NIFTY 50_v1_v2,8601.1,2015-03-24 11:30:00+05:30
20,SELL,2015-03-24 15:00:00+05:30,8549.0,8555.9,8537.15,8537.6,0,8578.88,8580.08,8580.42,8593.67,24.18,32.53,8626.65,8547.2,8537.15,2015-03-24 15:00:00+05:30,NIFTY 50_v1_v2,8410.7,2015-03-30 10:00:00+05:30
21,BUY,2015-03-30 13:15:00+05:30,8427.6,8442.65,8427.6,8441.0,0,8418.71,8403.88,8393.28,8411.25,20.38,72.08,8434.15,8398.95,8442.65,2015-03-30 13:15:00+05:30,NIFTY 50_v1_v2,8472.55,2015-04-01 09:40:00+05:30
22,BUY,2015-04-01 13:20:00+05:30,8513.15,8529.35,8513.15,8524.6,0,8502.28,8496.71,8493.03,8479.89,26.41,69.62,8518.1,8479.7,8529.35,2015-04-01 13:20:00+05:30,NIFTY 50_v1_v2,8771.45,2015-04-15 15:00:00+05:30
23,SELL,2015-04-16 10:00:00+05:30,8733.85,8740.15,8717.75,8718.0,0,8754.3,8780.8,8791.92,8785.12,43.79,23.12,8837.4,8722.95,8717.75,2015-04-16 10:00:00+05:30,NIFTY 50_v1_v2,8461.0,2015-04-23 09:15:00+05:30
24,SELL,2015-04-23 11:30:00+05:30,8407.9,8412.5,8391.7,8398.2,0,8431.67,8424.82,8418.24,8442.79,29.98,34.55,8504.95,8399.2,8391.7,2015-04-23 11:30:00+05:30,NIFTY 50_v1_v2,8447.25,2015-04-23 14:25:00+05:30
25,SELL,2015-04-24 09:30:00+05:30,8366.15,8366.8,8345.4,8345.4,0,8388.78,8398.5,8404.26,8424.6,20.51,31.22,8455.85,8362.2,8345.4,2015-04-24 09:30:00+05:30,NIFTY 50_v1_v2,8274.0,2015-04-28 14:45:00+05:30
26,SELL,2015-04-29 10:30:00+05:30,8247.6,8248.65,8228.15,8234.3,0,8258.71,8251.23,8248.99,8269.47,20.35,37.63,8307.55,8242.9,8228.15,2015-04-29 10:30:00+05:30,NIFTY 50_v1_v2,8268.6,2015-04-29 12:50:00+05:30
27,SELL,2015-04-30 09:15:00+05:30,8224.5,8228.9,8186.4,8190.2,0,8246.78,8254.48,8253.41,8262.87,22.5,26.22,8308.05,8228.45,8186.4,2015-04-30 09:15:00+05:30,NIFTY 50_v1_v2,8235.6,2015-05-04 09:15:00+05:30
28,BUY,2015-05-04 09:40:00+05:30,8279.15,8292.2,8274.0,8287.15,0,8223.31,8202.24,8203.33,8220.62,35.47,77.74,8283.45,8166.9,8292.2,2015-05-04 09:40:00+05:30,NIFTY 50_v1_v2,8274.95,2015-05-06 09:35:00+05:30
29,SELL,2015-05-06 10:05:00+05:30,8182.25,8185.55,8142.5,8150.3,0,8254.77,8287.51,8295.0,8284.83,41.0,10.58,8332.05,8159.25,8142.5,2015-05-06 10:05:00+05:30,NIFTY 50_v1_v2,8154.85,2015-05-08 09:20:00+05:30
30,BUY,2015-05-08 12:00:00+05:30,8174.65,8189.75,8174.6,8183.55,0,8165.16,8138.07,8123.84,8141.58,28.04,67.5,8178.05,8152.2,8189.75,2015-05-08 12:00:00+05:30,NIFTY 50_v1_v2,8214.0,2015-05-12 09:30:00+05:30
31,SELL,2015-05-12 12:10:00+05:30,8161.8,8162.7,8151.7,8153.35,0,8177.26,8209.65,8227.09,8219.22,46.41,26.94,8185.7,8159.7,8151.7,2015-05-12 12:10:00+05:30,NIFTY 50_v1_v2,8223.8,2015-05-13 09:15:00+05:30
32,BUY,2015-05-13 15:00:00+05:30,8221.05,8243.8,8220.75,8243.15,0,8216.71,8196.1,8190.04,8193.0,29.95,64.91,8240.15,8185.75,8243.8,2015-05-13 15:00:00+05:30,NIFTY 50_v1_v2,8148.1,2015-05-14 09:15:00+05:30
33,SELL,2015-05-14 13:05:00+05:30,8176.3,8176.7,8157.8,8164.9,0,8182.1,8187.95,8189.43,8191.93,21.86,37.24,8196.65,8167.95,8157.8,2015-05-14 13:05:00+05:30,NIFTY 50_v1_v2,8202.95,2015-05-14 13:20:00+05:30
34,BUY,2015-05-14 15:15:00+05:30,8229.25,8235.5,8219.7,8234.5,0,8209.47,8199.9,8195.59,8194.63,20.66,68.12,8232.55,8171.4,8235.5,2015-05-14 15:15:00+05:30,NIFTY 50_v1_v2,8429.3,2015-05-25 09:15:00+05:30
35,SELL,2015-05-25 12:35:00+05:30,8425.1,8425.45,8420.4,8420.4,0,8427.65,8433.85,8437.82,8429.41,22.95,37.76,8435.05,8422.05,8420.4,2015-05-25 12:35:00+05:30,NIFTY 50_v1_v2,8361.9,2015-05-28 09:15:00+05:30
36,SELL,2015-05-28 11:00:00+05:30,8326.45,8329.1,8316.75,8318.5,0,8334.86,8331.93,8332.25,8345.61,20.07,35.33,8364.2,8326.85,8316.75,2015-05-28 11:00:00+05:30,NIFTY 50_v1_v2,8352.45,2015-05-29 09:20:00+05:30
37,BUY,2015-05-29 10:15:00+05:30,8357.5,8398.55,8357.3,8398.55,0,8343.76,8324.24,8320.21,8329.54,36.62,80.67,8360.75,8284.45,8398.55,2015-05-29 10:15:00+05:30,NIFTY 50_v1_v2,8383.55,2015-06-02 09:25:00+05:30
38,SELL,2015-06-02 11:00:00+05:30,8384.55,8388.65,8330.25,8360.3,0,8388.84,8408.68,8415.04,8403.39,42.56,26.91,8426.65,8365.7,8330.25,2015-06-02 11:00:00+05:30,NIFTY 50_v1_v2,8165.8,2015-06-05 12:00:00+05:30
39,SELL,2015-06-05 15:00:00+05:30,8133.1,8134.65,8105.85,8109.75,0,8158.36,8152.7,8144.93,8161.69,25.86,25.05,8190.8,8125.0,8105.85,2015-06-05 15:00:00+05:30,NIFTY 50_v1_v2,8077.65,2015-06-10 09:15:00+05:30
40,BUY,2015-06-10 10:20:00+05:30,8103.75,8110.45,8103.75,8109.35,0,8078.81,8057.98,8053.64,8070.28,36.64,71.84,8108.75,8005.5,8110.45,2015-06-10 10:20:00+05:30,NIFTY 50_v1_v2,8067.0,2015-06-11 10:30:00+05:30
41,SELL,2015-06-11 11:00:00+05:30,8052.65,8058.9,8044.1,8045.05,0,8092.26,8105.1,8098.73,8092.39,37.8,23.66,8158.8,8050.55,8044.1,2015-06-11 11:00:00+05:30,NIFTY 50_v1_v2,8029.45,2015-06-15 09:40:00+05:30
42,SELL,2015-06-16 09:25:00+05:30,7997.25,7997.25,7977.85,7980.5,0,8013.52,8015.93,8010.72,8014.72,27.04,25.93,8052.6,7985.85,7977.85,2015-06-16 09:25:00+05:30,NIFTY 50_v1_v2,8004.65,2015-06-16 14:25:00+05:30
43,BUY,2015-06-16 15:05:00+05:30,8030.0,8047.4,8029.65,8047.4,0,8003.99,7992.65,7993.36,8000.53,38.34,79.11,8036.2,7952.65,8047.4,2015-06-16 15:05:00+05:30,NIFTY 50_v1_v2,8346.8,2015-06-24 15:10:00+05:30
44,BUY,2015-06-25 13:10:00+05:30,8384.65,8389.75,8384.4,8389.55,0,8372.54,8371.93,8375.82,8363.73,20.06,72.88,8385.95,8354.75,8389.75,2015-06-25 13:10:00+05:30,NIFTY 50_v1_v2,8363.65,2015-06-26 09:30:00+05:30
45,SELL,2015-06-26 12:05:00+05:30,8356.15,8361.9,8354.55,8354.85,0,8371.51,8377.71,8380.09,8373.01,21.85,33.83,8390.1,8355.95,8354.55,2015-06-26 12:05:00+05:30,NIFTY 50_v1_v2,8381.5,2015-06-26 13:10:00+05:30
46,BUY,2015-06-26 14:15:00+05:30,8389.6,8403.8,8389.5,8395.55,0,8379.2,8376.09,8377.38,8372.89,20.08,66.1,8390.55,8342.2,8403.8,2015-06-26 14:15:00+05:30,NIFTY 50_v1_v2,8369.7,2015-06-26 14:40:00+05:30
47,SELL,2015-06-29 09:20:00+05:30,8220.9,8228.1,8207.1,8217.75,0,8352.28,8366.76,8372.54,8371.18,22.4,14.81,8403.8,8218.1,8207.1,2015-06-29 09:20:00+05:30,NIFTY 50_v1_v2,8319.85,2015-06-29 14:10:00+05:30
48,BUY,2015-06-30 15:05:00+05:30,8371.45,8374.8,8363.85,8374.8,0,8342.74,8332.55,8322.73,8322.26,21.6,74.23,8374.15,8306.95,8374.8,2015-06-30 15:05:00+05:30,NIFTY 50_v1_v2,8431.85,2015-07-06 09:15:00+05:30
49,BUY,2015-07-06 14:10:00+05:30,8467.55,8476.55,8465.85,8474.8,0,8458.75,8449.84,8450.63,8446.48,36.64,68.67,8472.85,8425.65,8476.55,2015-07-06 14:10:00+05:30,NIFTY 50_v1_v2,8492.0,2015-07-07 14:30:00+05:30
50,SELL,2015-07-08 10:55:00+05:30,8420.15,8420.9,8403.5,8404.25,0,8446.67,8474.98,8489.01,8484.68,38.33,24.13,8457.5,8412.25,8403.5,2015-07-08 10:55:00+05:30,NIFTY 50_v1_v2,8372.3,2015-07-10 15:05:00+05:30
51,BUY,2015-07-13 12:30:00+05:30,8395.15,8419.2,8391.5,8417.1,0,8374.26,8366.27,8360.23,8367.29,21.15,79.99,8397.05,8355.4,8419.2,2015-07-13 12:30:00+05:30,NIFTY 50_v1_v2,8574.7,2015-07-20 09:30:00+05:30
52,BUY,2015-07-20 14:30:00+05:30,8590.45,8610.3,8590.4,8604.55,0,8579.86,8578.97,8583.76,8575.67,29.05,76.4,8593.2,8561.45,8610.3,2015-07-20 14:30:00+05:30,NIFTY 50_v1_v2,8581.25,2015-07-21 14:25:00+05:30
53,SELL,2015-07-21 14:45:00+05:30,8578.25,8579.35,8552.6,8552.95,0,8591.75,8599.72,8600.16,8592.31,28.37,19.52,8610.35,8569.85,8552.6,2015-07-21 14:45:00+05:30,NIFTY 50_v1_v2,8582.6,2015-07-22 11:05:00+05:30
54,BUY,2015-07-22 12:10:00+05:30,8590.25,8607.9,8589.25,8607.2,0,8583.55,8576.35,8580.01,8581.74,27.39,69.91,8599.05,8561.35,8607.9,2015-07-22 12:10:00+05:30,NIFTY 50_v1_v2,8594.45,2015-07-23 11:35:00+05:30
55,SELL,2015-07-23 14:10:00+05:30,8589.05,8594.25,8573.95,8579.7,0,8604.28,8612.5,8612.21,8605.26,26.74,32.45,8630.6,8585.0,8573.95,2015-07-23 14:10:00+05:30,NIFTY 50_v1_v2,8616.0,2015-07-23 14:35:00+05:30
56,SELL,2015-07-24 11:10:00+05:30,8573.05,8574.2,8566.35,8566.9,0,8575.67,8585.99,8595.28,8597.78,32.39,39.73,8584.85,8567.85,8566.35,2015-07-24 11:10:00+05:30,NIFTY 50_v1_v2,8415.8,2015-07-30 09:15:00+05:30
57,BUY,2015-07-30 09:50:00+05:30,8421.95,8427.35,8419.65,8427.35,0,8397.32,8379.85,8374.12,8392.6,43.04,78.47,8427.05,8360.4,8427.35,2015-07-30 09:50:00+05:30,NIFTY 50_v1_v2,8502.45,2015-08-04 09:30:00+05:30
58,BUY,2015-08-04 11:25:00+05:30,8540.35,8555.7,8538.4,8549.55,0,8521.97,8527.88,8529.25,8511.95,20.41,63.81,8541.35,8486.8,8555.7,2015-08-04 11:25:00+05:30,NIFTY 50_v1_v2,8497.95,2015-08-04 12:05:00+05:30
59,SELL,2015-08-04 12:40:00+05:30,8501.8,8502.7,8453.1,8456.15,0,8511.73,8521.31,8525.52,8512.46,24.37,26.74,8555.7,8486.8,8453.1,2015-08-04 12:40:00+05:30,NIFTY 50_v1_v2,8517.0,2015-08-04 13:45:00+05:30
60,BUY,2015-08-05 09:15:00+05:30,8547.4,8572.85,8547.4,8572.85,0,8519.68,8513.47,8516.29,8510.23,22.02,75.76,8529.45,8505.4,8572.85,2015-08-05 09:15:00+05:30,NIFTY 50_v1_v2,8568.95,2015-08-07 13:40:00+05:30
61,BUY,2015-08-10 09:20:00+05:30,8578.4,8608.15,8576.0,8597.2,0,8573.13,8575.83,8577.01,8570.65,26.87,67.58,8579.0,8553.25,8608.15,2015-08-10 09:20:00+05:30,NIFTY 50_v1_v2,8571.45,2015-08-10 15:00:00+05:30
62,SELL,2015-08-10 15:05:00+05:30,8571.7,8571.7,8498.0,8510.85,0,8585.05,8593.12,8592.86,8585.34,32.36,13.67,8604.2,8571.1,8498.0,2015-08-10 15:05:00+05:30,NIFTY 50_v1_v2,8423.4,2015-08-14 10:50:00+05:30
63,BUY,2015-08-14 11:20:00+05:30,8464.1,8488.5,8463.15,8487.9,0,8428.79,8407.46,8402.29,8419.91,35.89,81.1,8480.25,8387.35,8488.5,2015-08-14 11:20:00+05:30,NIFTY 50_v1_v2,8448.1,2015-08-17 09:25:00+05:30
64,BUY,2015-08-17 11:50:00+05:30,8454.95,8476.1,8454.1,8475.3,0,8455.5,8464.52,8460.56,8452.85,32.09,61.26,8462.7,8435.4,8476.1,2015-08-17 11:50:00+05:30,NIFTY 50_v1_v2,8475.85,2015-08-18 12:00:00+05:30
65,SELL,2015-08-19 09:15:00+05:30,8468.05,8468.05,8426.55,8437.4,0,8466.32,8470.16,8474.14,8471.21,24.21,30.7,8487.4,8447.85,8426.55,2015-08-19 09:15:00+05:30,NIFTY 50_v1_v2,8473.2,2015-08-19 10:40:00+05:30
66,BUY,2015-08-19 11:15:00+05:30,8493.8,8498.4,8492.2,8498.25,0,8476.15,8470.62,8472.08,8470.45,22.39,71.44,8496.05,8440.7,8498.4,2015-08-19 11:15:00+05:30,NIFTY 50_v1_v2,8476.15,2015-08-20 09:15:00+05:30
67,SELL,2015-08-20 12:45:00+05:30,8461.9,8463.2,8448.85,8452.55,0,8471.0,8477.68,8481.43,8480.19,21.57,30.05,8489.3,8460.35,8448.85,2015-08-20 12:45:00+05:30,NIFTY 50_v1_v2,7910.1,2015-08-27 10:50:00+05:30
68,BUY,2015-08-27 13:10:00+05:30,7924.7,7944.15,7924.7,7943.7,0,7908.4,7894.31,7884.64,7908.32,29.77,72.64,7925.05,7883.75,7944.15,2015-08-27 13:10:00+05:30,NIFTY 50_v1_v2,7976.7,2015-08-28 14:35:00+05:30
69,BUY,2015-08-31 11:15:00+05:30,8012.85,8023.2,8011.15,8020.75,0,7997.1,7999.64,7998.15,7982.29,22.69,62.38,8017.65,7956.45,8023.2,2015-08-31 11:15:00+05:30,NIFTY 50_v1_v2,7982.8,2015-08-31 13:35:00+05:30
70,SELL,2015-09-01 09:15:00+05:30,7907.95,7910.9,7887.05,7910.3,0,7972.25,7986.71,7993.41,7986.93,28.33,26.02,8000.5,7948.7,7887.05,2015-09-01 09:15:00+05:30,NIFTY 50_v1_v2,7823.65,2015-09-03 13:25:00+05:30
71,SELL,2015-09-04 09:15:00+05:30,7803.4,7803.4,7747.9,7765.5,0,7819.4,7812.94,7806.84,7823.1,21.24,28.36,7845.45,7811.65,7747.9,2015-09-04 09:15:00+05:30,NIFTY 50_v1_v2,7652.8,2015-09-08 13:00:00+05:30
72,BUY,2015-09-08 14:10:00+05:30,7673.45,7687.5,7667.3,7686.3,0,7648.77,7625.81,7621.88,7647.55,42.02,72.18,7676.65,7611.15,7687.5,2015-09-08 14:10:00+05:30,NIFTY 50_v1_v2,7685.55,2015-09-10 09:15:00+05:30
73,BUY,2015-09-10 15:25:00+05:30,7807.95,7819.45,7807.4,7819.3,0,7767.44,7754.35,7750.52,7738.36,21.38,76.98,7808.3,7715.55,7819.45,2015-09-10 15:25:00+05:30,NIFTY 50_v1_v2,7765.5,2015-09-11 15:10:00+05:30
74,BUY,2015-09-14 13:10:00+05:30,7833.3,7848.35,7833.05,7848.3,0,7824.76,7814.88,7806.18,7789.42,21.36,70.22,7843.55,7804.35,7848.35,2015-09-14 13:10:00+05:30,NIFTY 50_v1_v2,7810.3,2015-09-15 13:55:00+05:30
75,BUY,2015-09-16 12:15:00+05:30,7889.85,7905.8,7889.85,7901.95,0,7877.63,7864.52,7852.9,7836.02,26.36,72.03,7893.85,7853.4,7905.8,2015-09-16 12:15:00+05:30,NIFTY 50_v1_v2,7922.1,2015-09-21 09:15:00+05:30
76,SELL,2015-09-22 13:45:00+05:30,7931.55,7934.2,7918.3,7923.1,0,7960.43,7974.09,7975.82,7964.45,46.93,20.38,7997.65,7923.5,7918.3,2015-09-22 13:45:00+05:30,NIFTY 50_v1_v2,7878.9,2015-09-23 14:25:00+05:30
77,SELL,2015-09-24 09:45:00+05:30,7829.65,7830.3,7804.3,7809.55,0,7841.54,7837.41,7844.9,7871.64,24.48,34.96,7882.9,7819.45,7804.3,2015-09-24 09:45:00+05:30,NIFTY 50_v1_v2,7875.15,2015-09-24 13:35:00+05:30
78,SELL,2015-09-28 14:55:00+05:30,7813.3,7817.7,7803.2,7805.2,0,7847.65,7856.76,7857.6,7861.2,24.54,21.01,7890.6,7806.7,7803.2,2015-09-28 14:55:00+05:30,NIFTY 50_v1_v2,7840.35,2015-09-29 12:45:00+05:30
79,BUY,2015-09-29 13:40:00+05:30,7868.0,7881.95,7867.55,7877.55,0,7838.78,7810.85,7811.11,7826.12,38.19,72.52,7873.2,7768.55,7881.95,2015-09-29 13:40:00+05:30,NIFTY 50_v1_v2,7830.4,2015-09-29 15:15:00+05:30
80,BUY,2015-09-30 15:10:00+05:30,7946.65,7957.1,7945.8,7956.05,0,7923.17,7909.01,7890.87,7872.33,24.09,74.77,7947.0,7885.1,7957.1,2015-09-30 15:10:00+05:30,NIFTY 50_v1_v2,8124.2,2015-10-08 11:35:00+05:30
81,SELL,2015-10-08 14:25:00+05:30,8113.65,8116.6,8106.65,8107.0,0,8121.3,8129.61,8137.13,8126.65,22.85,36.05,8138.9,8111.6,8106.65,2015-10-08 14:25:00+05:30,NIFTY 50_v1_v2,8135.1,2015-10-08 14:50:00+05:30
82,BUY,2015-10-09 09:20:00+05:30,8207.0,8212.7,8201.25,8212.7,0,8141.14,8134.91,8137.87,8128.31,22.02,78.0,8211.75,8106.1,8212.7,2015-10-09 09:20:00+05:30,NIFTY 50_v1_v2,8147.95,2015-10-09 13:15:00+05:30
83,BUY,2015-10-09 14:50:00+05:30,8179.0,8190.4,8178.05,8185.35,0,8171.31,8172.47,8168.89,8154.92,21.95,62.37,8180.8,8140.3,8190.4,2015-10-09 14:50:00+05:30,NIFTY 50_v1_v2,8166.1,2015-10-12 13:55:00+05:30
84,SELL,2015-10-12 14:30:00+05:30,8146.95,8148.1,8142.55,8144.25,0,8167.68,8177.84,8179.37,8170.2,30.72,28.37,8199.15,8145.0,8142.55,2015-10-12 14:30:00+05:30,NIFTY 50_v1_v2,8156.75,2015-10-15 09:15:00+05:30
85,BUY,2015-10-15 09:55:00+05:30,8160.35,8180.45,8160.35,8176.55,0,8140.72,8129.84,8127.18,8132.11,30.48,78.11,8161.55,8103.3,8180.45,2015-10-15 09:55:00+05:30,NIFTY 50_v1_v2,8156.85,2015-10-16 12:05:00+05:30
86,BUY,2015-10-16 14:15:00+05:30,8189.25,8217.9,8189.25,8213.35,0,8172.11,8168.18,8165.99,8159.73,21.69,86.03,8189.2,8154.85,8217.9,2015-10-16 14:15:00+05:30,NIFTY 50_v1_v2,8240.9,2015-10-20 14:25:00+05:30
87,BUY,2015-10-21 09:25:00+05:30,8275.7,8281.25,8273.9,8280.25,0,8264.84,8268.29,8265.83,8247.58,26.54,60.47,8279.55,8229.4,8281.25,2015-10-21 09:25:00+05:30,NIFTY 50_v1_v2,8245.3,2015-10-21 12:10:00+05:30
88,BUY,2015-10-23 09:15:00+05:30,8308.25,8324.3,8308.25,8316.25,0,8255.06,8254.1,8258.23,8253.07,24.83,76.19,8267.75,8222.25,8324.3,2015-10-23 09:15:00+05:30,NIFTY 50_v1_v2,8276.95,2015-10-26 11:00:00+05:30
89,SELL,2015-10-26 12:45:00+05:30,8276.3,8276.3,8268.55,8269.55,0,8280.43,8287.07,8289.33,8282.62,26.51,32.97,8285.95,8272.2,8268.55,2015-10-26 12:45:00+05:30,NIFTY 50_v1_v2,8285.0,2015-10-26 13:30:00+05:30
90,SELL,2015-10-27 09:15:00+05:30,8232.35,8236.35,8227.9,8231.2,0,8264.32,8273.43,8279.99,8279.28,28.51,24.89,8283.8,8252.25,8227.9,2015-10-27 09:15:00+05:30,NIFTY 50_v1_v2,8077.6,2015-11-03 09:15:00+05:30
91,BUY,2015-11-03 11:35:00+05:30,8086.75,8095.15,8086.1,8092.8,0,8081.91,8066.6,8060.61,8078.01,25.13,69.39,8088.5,8072.95,8095.15,2015-11-03 11:35:00+05:30,NIFTY 50_v1_v2,8066.85,2015-11-03 12:15:00+05:30
92,SELL,2015-11-03 13:30:00+05:30,8059.15,8059.15,8032.1,8032.35,0,8064.3,8066.25,8063.11,8075.97,29.27,23.58,8090.0,8056.6,8032.1,2015-11-03 13:30:00+05:30,NIFTY 50_v1_v2,8110.5,2015-11-04 09:15:00+05:30
93,SELL,2015-11-04 15:00:00+05:30,8059.5,8062.2,8048.85,8055.45,0,8070.91,8075.59,8074.9,8076.67,26.85,31.36,8087.8,8056.3,8048.85,2015-11-04 15:00:00+05:30,NIFTY 50_v1_v2,7937.1,2015-11-09 14:55:00+05:30
94,SELL,2015-11-10 09:20:00+05:30,7883.65,7884.8,7856.7,7860.9,0,7897.93,7888.76,7896.82,7928.48,40.67,34.3,7937.65,7862.65,7856.7,2015-11-10 09:20:00+05:30,NIFTY 50_v1_v2,7794.8,2015-11-16 12:05:00+05:30
95,BUY,2015-11-16 14:00:00+05:30,7805.5,7816.1,7805.45,7815.75,0,7797.6,7782.77,7777.35,7795.24,31.92,68.43,7812.15,7785.0,7816.1,2015-11-16 14:00:00+05:30,NIFTY 50_v1_v2,7804.2,2015-11-17 11:25:00+05:30
96,BUY,2015-11-17 13:35:00+05:30,7815.4,7831.05,7813.8,7829.65,0,7814.53,7814.45,7808.07,7807.21,20.91,63.23,7822.5,7793.2,7831.05,2015-11-17 13:35:00+05:30,NIFTY 50_v1_v2,7813.3,2015-11-18 12:20:00+05:30
97,SELL,2015-11-18 13:15:00+05:30,7808.5,7808.5,7773.95,7774.6,0,7812.91,7819.64,7819.72,7816.43,30.15,23.52,7834.55,7804.95,7773.95,2015-11-18 13:15:00+05:30,NIFTY 50_v1_v2,7797.35,2015-11-19 10:25:00+05:30
