,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
849,BUY,2022-09-08 09:20:00+05:30,17733.75,17769.2,17733.7,17767.95,0,17646.81,17629.78,17627.31,17625.56,21.95,81.0,17765.1,17599.0,17769.2,2022-09-08 09:20:00+05:30,NIFTY 50_ema_adx_rsi_v2,17863.95,2022-09-14 09:15:00+05:30
850,BUY,2022-09-14 11:55:00+05:30,17973.95,17987.75,17971.45,17985.1,0,17957.46,17973.86,17987.01,17961.46,20.22,61.2,17979.45,17903.05,17987.75,2022-09-14 11:55:00+05:30,NIFTY 50_ema_adx_rsi_v2,17980.45,2022-09-14 15:10:00+05:30
851,SELL,2022-09-16 09:15:00+05:30,17796.8,17815.8,17717.45,17790.65,0,17890.43,17911.15,17936.65,17951.92,23.7,22.41,17962.4,17861.95,17717.45,2022-09-16 09:15:00+05:30,NIFTY 50_ema_adx_rsi_v2,17805.4,2022-09-20 09:15:00+05:30
852,BUY,2022-09-20 10:35:00+05:30,17864.05,17874.85,17863.55,17869.9,0,17809.55,17734.14,17698.1,17721.25,45.34,76.01,17869.2,17617.15,17874.85,2022-09-20 10:35:00+05:30,NIFTY 50_ema_adx_rsi_v2,17786.55,2022-09-21 09:40:00+05:30
853,SELL,2022-09-22 09:15:00+05:30,17609.65,17636.9,17583.3,17623.6,0,17722.84,17741.18,17758.76,17766.09,21.75,23.99,17793.9,17707.75,17583.3,2022-09-22 09:15:00+05:30,NIFTY 50_ema_adx_rsi_v2,17705.55,2022-09-22 14:00:00+05:30
854,SELL,2022-09-22 15:05:00+05:30,17649.8,17650.2,17616.7,17623.4,0,17660.36,17650.21,17667.03,17699.68,22.58,39.61,17722.65,17629.25,17616.7,2022-09-22 15:05:00+05:30,NIFTY 50_ema_adx_rsi_v2,16945.15,2022-09-30 10:40:00+05:30
855,BUY,2022-09-30 13:40:00+05:30,17104.55,17126.4,17104.25,17126.3,0,17067.17,16998.52,16956.22,16965.2,44.84,73.52,17122.6,16980.45,17126.4,2022-09-30 13:40:00+05:30,NIFTY 50_ema_adx_rsi_v2,16986.65,2022-10-03 09:35:00+05:30
856,BUY,2022-10-03 11:20:00+05:30,17013.7,17040.45,17013.25,17040.45,0,16995.02,17017.25,17004.9,16995.07,30.76,60.07,17027.45,16946.35,17040.45,2022-10-03 11:20:00+05:30,NIFTY 50_ema_adx_rsi_v2,16997.6,2022-10-03 12:30:00+05:30
857,SELL,2022-10-03 14:30:00+05:30,16930.75,16933.0,16907.75,16909.45,0,16966.61,16992.41,16998.41,16995.46,26.22,31.14,17046.25,16919.2,16907.75,2022-10-03 14:30:00+05:30,NIFTY 50_ema_adx_rsi_v2,17174.9,2022-10-04 09:15:00+05:30
858,BUY,2022-10-04 10:00:00+05:30,17220.7,17248.7,17220.4,17245.6,0,17100.18,17038.14,17018.23,17005.37,49.31,76.47,17235.7,16855.6,17248.7,2022-10-04 10:00:00+05:30,NIFTY 50_ema_adx_rsi_v2,17255.45,2022-10-07 10:55:00+05:30
859,BUY,2022-10-07 14:45:00+05:30,17305.2,17327.85,17302.05,17327.7,0,17290.56,17284.05,17289.55,17264.21,21.1,68.87,17311.6,17248.95,17327.85,2022-10-07 14:45:00+05:30,NIFTY 50_ema_adx_rsi_v2,17095.1,2022-10-10 09:15:00+05:30
860,SELL,2022-10-10 13:55:00+05:30,17193.65,17196.15,17172.15,17172.15,0,17210.56,17202.2,17214.87,17225.4,21.6,39.61,17279.9,17188.9,17172.15,2022-10-10 13:55:00+05:30,NIFTY 50_ema_adx_rsi_v2,17223.0,2022-10-10 14:45:00+05:30
861,SELL,2022-10-11 09:50:00+05:30,17180.55,17180.7,17154.7,17155.55,0,17199.55,17202.15,17209.83,17220.14,20.1,35.69,17261.7,17167.0,17154.7,2022-10-11 09:50:00+05:30,NIFTY 50_ema_adx_rsi_v2,17210.65,2022-10-11 12:05:00+05:30
862,SELL,2022-10-11 12:40:00+05:30,17126.1,17127.9,17103.95,17113.1,0,17166.0,17175.64,17188.28,17204.49,21.11,29.96,17213.35,17115.7,17103.95,2022-10-11 12:40:00+05:30,NIFTY 50_ema_adx_rsi_v2,17119.2,2022-10-12 14:40:00+05:30
863,SELL,2022-10-13 09:35:00+05:30,17085.05,17085.05,17065.3,17065.65,0,17099.1,17086.71,17087.27,17114.24,21.87,38.22,17141.65,17070.4,17065.3,2022-10-13 09:35:00+05:30,NIFTY 50_ema_adx_rsi_v2,17074.9,2022-10-13 14:40:00+05:30
864,BUY,2022-10-14 12:00:00+05:30,17306.0,17328.2,17303.8,17327.6,0,17290.74,17226.17,17163.48,17131.79,37.22,71.08,17311.65,17252.0,17328.2,2022-10-14 12:00:00+05:30,NIFTY 50_ema_adx_rsi_v2,17146.55,2022-10-17 09:15:00+05:30
865,BUY,2022-10-17 10:20:00+05:30,17239.05,17249.45,17229.2,17248.85,0,17194.75,17213.23,17204.47,17174.54,34.2,62.54,17240.35,17098.95,17249.45,2022-10-17 10:20:00+05:30,NIFTY 50_ema_adx_rsi_v2,17453.3,2022-10-20 09:15:00+05:30
866,BUY,2022-10-20 15:05:00+05:30,17550.2,17559.95,17550.2,17558.85,0,17519.85,17507.64,17503.38,17477.09,21.62,68.76,17554.35,17468.75,17559.95,2022-10-20 15:05:00+05:30,NIFTY 50_ema_adx_rsi_v2,17531.0,2022-10-21 14:25:00+05:30
867,BUY,2022-10-24 18:15:00+05:30,17736.35,17776.5,17733.45,17768.4,0,17594.32,17599.49,17589.7,17553.47,34.88,78.39,17611.85,17521.25,17776.5,2022-10-24 18:15:00+05:30,NIFTY 50_ema_adx_rsi_v2,17657.95,2022-10-27 14:35:00+05:30
868,BUY,2022-10-27 15:00:00+05:30,17659.6,17716.5,17659.6,17716.15,0,17685.39,17695.0,17695.93,17672.18,21.29,60.99,17712.9,17654.7,17716.5,2022-10-27 15:00:00+05:30,NIFTY 50_ema_adx_rsi_v2,18022.3,2022-11-03 09:15:00+05:30
869,BUY,2022-11-04 15:00:00+05:30,18077.6,18104.25,18075.3,18099.7,0,18065.94,18055.88,18052.7,18048.57,23.18,75.98,18082.5,18042.05,18104.25,2022-11-04 15:00:00+05:30,NIFTY 50_ema_adx_rsi_v2,18074.25,2022-11-07 13:25:00+05:30
870,BUY,2022-11-07 14:15:00+05:30,18126.3,18140.6,18125.5,18138.7,0,18113.63,18117.25,18107.77,18088.49,20.04,60.57,18135.4,18064.9,18140.6,2022-11-07 14:15:00+05:30,NIFTY 50_ema_adx_rsi_v2,18144.8,2022-11-09 14:40:00+05:30
871,SELL,2022-11-10 12:00:00+05:30,18045.75,18047.1,18020.45,18026.0,0,18045.22,18074.05,18105.47,18115.31,23.64,36.74,18061.3,18027.4,18020.45,2022-11-10 12:00:00+05:30,NIFTY 50_ema_adx_rsi_v2,18270.2,2022-11-11 09:15:00+05:30
872,BUY,2022-11-11 11:40:00+05:30,18309.9,18323.8,18309.9,18321.3,0,18293.59,18219.23,18163.97,18136.12,46.43,72.13,18319.65,18281.3,18323.8,2022-11-11 11:40:00+05:30,NIFTY 50_ema_adx_rsi_v2,18284.65,2022-11-15 11:05:00+05:30
873,BUY,2022-11-15 15:10:00+05:30,18397.35,18410.15,18397.35,18406.6,0,18351.39,18335.09,18327.26,18302.85,20.38,79.14,18397.8,18309.0,18410.15,2022-11-15 15:10:00+05:30,NIFTY 50_ema_adx_rsi_v2,18360.3,2022-11-17 11:10:00+05:30
874,BUY,2022-11-17 13:35:00+05:30,18399.7,18409.1,18398.6,18406.65,0,18388.73,18384.56,18383.12,18366.89,23.21,66.88,18404.15,18359.6,18409.1,2022-11-17 13:35:00+05:30,NIFTY 50_ema_adx_rsi_v2,18369.8,2022-11-17 15:05:00+05:30
875,SELL,2022-11-18 09:55:00+05:30,18303.75,18304.2,18291.85,18295.05,0,18338.44,18361.23,18371.36,18365.23,23.06,27.56,18405.15,18303.6,18291.85,2022-11-18 09:55:00+05:30,NIFTY 50_ema_adx_rsi_v2,18322.55,2022-11-18 15:10:00+05:30
876,SELL,2022-11-21 09:20:00+05:30,18210.55,18222.8,18181.75,18182.7,0,18262.05,18263.97,18285.41,18311.1,28.28,31.5,18327.35,18202.3,18181.75,2022-11-21 09:20:00+05:30,NIFTY 50_ema_adx_rsi_v2,18223.8,2022-11-22 12:15:00+05:30
877,BUY,2022-11-23 14:40:00+05:30,18291.7,18303.0,18291.0,18301.75,0,18284.85,18275.32,18259.6,18248.75,20.32,69.06,18295.85,18268.8,18303.0,2022-11-23 14:40:00+05:30,NIFTY 50_ema_adx_rsi_v2,18728.15,2022-12-02 09:25:00+05:30
878,SELL,2022-12-05 09:45:00+05:30,18654.25,18654.9,18632.7,18635.25,0,18673.46,18683.82,18702.38,18704.77,23.84,31.87,18723.85,18647.45,18632.7,2022-12-05 09:45:00+05:30,NIFTY 50_ema_adx_rsi_v2,18700.75,2022-12-05 12:20:00+05:30
879,SELL,2022-12-06 09:20:00+05:30,18617.45,18617.45,18584.1,18584.1,0,18666.99,18666.27,18671.37,18681.38,21.03,29.28,18723.6,18600.65,18584.1,2022-12-06 09:20:00+05:30,NIFTY 50_ema_adx_rsi_v2,18651.55,2022-12-06 15:10:00+05:30
