,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
15,BUY,2024-03-28 16:15:00+05:30,79096,79096,79096,79096,1,78894.81,78848.67,78840.63,78845.51,51.84,79.04,79025,78720,79096,2024-03-28 16:15:00+05:30,SILVERMIC 50_v2_v2,78775,2024-03-28 17:05:00+05:30
16,BUY,2024-03-28 18:25:00+05:30,78950,79100,78950,79100,21,78915.24,78885.59,78865.6,78858.53,33.53,69.09,79096,78738,79100,2024-03-28 18:25:00+05:30,SILVERMIC 50_v2_v2,78845,2024-03-28 19:25:00+05:30
17,BUY,2024-03-28 20:25:00+05:30,79200,79250,78845,79205,63,79004.12,78946.43,78906.97,78882.18,25.75,69.28,79200,78845,79250,2024-03-28 20:25:00+05:30,SILVERMIC 50_v2_v2,79500,2024-04-01 19:30:00+05:30
18,BUY,2024-04-02 10:10:00+05:30,79956,80050,79956,80050,91,79861.51,79750.82,79706.56,79607.57,41.28,75.85,80021,79490,80050,2024-04-02 10:10:00+05:30,SILVERMIC 50_v2_v2,82715,2024-04-05 09:00:00+05:30
19,BUY,2024-04-05 11:05:00+05:30,83034,83218,83034,83202,53,82925.0,83036.04,83110.18,82976.52,37.04,66.8,83049,82625,83218,2024-04-05 11:05:00+05:30,SILVERMIC 50_v2_v2,83055,2024-04-05 17:25:00+05:30
20,BUY,2024-04-05 19:20:00+05:30,83214,83400,83214,83337,93,83055.0,83075.26,83102.2,83060.96,31.27,63.48,83218,82500,83400,2024-04-05 19:20:00+05:30,SILVERMIC 50_v2_v2,84732,2024-04-08 19:30:00+05:30
21,BUY,2024-04-08 23:15:00+05:30,85543,85550,85489,85550,13,85446.55,85401.1,85348.89,85065.64,22.85,61.08,85543,85361,85550,2024-04-08 23:15:00+05:30,SILVERMIC 50_v2_v2,85824,2024-04-09 20:10:00+05:30
22,BUY,2024-04-10 09:00:00+05:30,86566,86588,86327,86541,136,86146.94,86140.72,86134.14,85957.18,23.95,69.64,86293,85879,86588,2024-04-10 09:00:00+05:30,SILVERMIC 50_v2_v2,86000,2024-04-10 18:00:00+05:30
23,BUY,2024-04-10 20:00:00+05:30,86514,86651,86514,86651,37,86279.34,86305.41,86361.43,86303.48,32.41,63.21,86621,85550,86651,2024-04-10 20:00:00+05:30,SILVERMIC 50_v2_v2,86251,2024-04-10 20:40:00+05:30
24,BUY,2024-04-11 22:55:00+05:30,86551,86602,86413,86565,51,86384.66,86347.96,86347.78,86335.05,22.65,66.91,86524,86227,86602,2024-04-11 22:55:00+05:30,SILVERMIC 50_v2_v2,87638,2024-04-12 21:45:00+05:30
25,SELL,2024-04-12 23:15:00+05:30,86666,86666,86552,86598,61,87064.18,87557.38,87756.51,87616.07,38.44,28.69,87940,86700,86552,2024-04-12 23:15:00+05:30,SILVERMIC 50_v2_v2,87720,2024-04-15 11:20:00+05:30
26,SELL,2024-04-15 13:55:00+05:30,87389,87410,87280,87280,27,87536.56,87522.74,87562.7,87542.54,20.02,35.47,87815,87389,87280,2024-04-15 13:55:00+05:30,SILVERMIC 50_v2_v2,87566,2024-04-15 15:50:00+05:30
27,BUY,2024-04-15 18:15:00+05:30,87660,87750,87660,87750,13,87634.73,87572.89,87554.14,87538.07,20.84,60.41,87737,87480,87750,2024-04-15 18:15:00+05:30,SILVERMIC 50_v2_v2,87477,2024-04-15 18:50:00+05:30
28,SELL,2024-04-15 19:50:00+05:30,87166,87188,86992,86992,62,87401.34,87495.08,87521.11,87524.76,37.76,33.93,87800,87000,86992,2024-04-15 19:50:00+05:30,SILVERMIC 50_v2_v2,87600,2024-04-15 20:55:00+05:30
29,BUY,2024-04-17 19:00:00+05:30,87892,88076,87892,88076,87,87826.89,87742.98,87685.93,87654.91,21.18,67.29,87949,87671,88076,2024-04-17 19:00:00+05:30,SILVERMIC 50_v2_v2,87736,2024-04-17 21:50:00+05:30
30,SELL,2024-04-19 10:10:00+05:30,87494,87500,87377,87380,48,87529.49,87533.55,87558.09,87598.64,23.92,36.44,87805,87415,87377,2024-04-19 10:10:00+05:30,SILVERMIC 50_v2_v2,87623,2024-04-19 12:25:00+05:30
31,SELL,2024-04-19 16:05:00+05:30,87400,87400,87352,87352,2,87407.64,87432.43,87463.79,87517.65,39.69,35.04,87483,87367,87352,2024-04-19 16:05:00+05:30,SILVERMIC 50_v2_v2,87450,2024-04-19 20:35:00+05:30
32,SELL,2024-04-22 09:00:00+05:30,87000,87000,86000,86449,244,87331.5,87342.34,87349.99,87401.46,27.09,15.32,87550,87287,86000,2024-04-22 09:00:00+05:30,SILVERMIC 50_v2_v2,84800,2024-04-23 19:15:00+05:30
33,SELL,2024-04-24 16:45:00+05:30,84600,84600,84540,84540,6,84669.63,84759.44,84805.73,84825.99,21.98,35.44,84780,84554,84540,2024-04-24 16:45:00+05:30,SILVERMIC 50_v2_v2,84864,2024-04-24 18:05:00+05:30
34,BUY,2024-04-25 16:45:00+05:30,85000,85080,85000,85060,13,84954.66,84913.14,84857.82,84826.34,20.43,64.41,85000,84850,85080,2024-04-25 16:45:00+05:30,SILVERMIC 50_v2_v2,84836,2024-04-25 18:40:00+05:30
35,BUY,2024-04-26 09:25:00+05:30,85114,85184,85105,85184,68,84992.93,84948.65,84923.77,84888.39,20.87,68.37,85123,84852,85184,2024-04-26 09:25:00+05:30,SILVERMIC 50_v2_v2,85187,2024-04-26 19:10:00+05:30
36,SELL,2024-04-26 20:50:00+05:30,84861,84861,84730,84821,69,85048.87,85182.65,85231.14,85183.72,30.06,31.09,85387,84853,84730,2024-04-26 20:50:00+05:30,SILVERMIC 50_v2_v2,85091,2024-04-29 14:00:00+05:30
37,SELL,2024-04-29 17:20:00+05:30,85000,85000,84928,84928,13,85075.32,85067.32,85059.28,85072.7,26.45,20.5,85135,85000,84928,2024-04-29 17:20:00+05:30,SILVERMIC 50_v2_v2,85050,2024-04-29 21:40:00+05:30
38,SELL,2024-04-30 09:00:00+05:30,84600,84600,84300,84480,139,84966.75,84968.44,84975.84,85005.73,23.45,22.68,85150,84920,84300,2024-04-30 09:00:00+05:30,SILVERMIC 50_v2_v2,83955,2024-05-01 19:35:00+05:30
39,BUY,2024-05-02 12:00:00+05:30,84028,84120,84027,84120,17,83992.33,83984.02,83943.22,83965.84,29.05,66.09,84070,83870,84120,2024-05-02 12:00:00+05:30,SILVERMIC 50_v2_v2,83938,2024-05-02 12:15:00+05:30
40,SELL,2024-05-02 13:40:00+05:30,83889,83889,83800,83810,30,83917.03,83948.94,83936.87,83958.89,22.42,37.34,84131,83838,83800,2024-05-02 13:40:00+05:30,SILVERMIC 50_v2_v2,83817,2024-05-02 19:40:00+05:30
41,BUY,2024-05-03 10:15:00+05:30,84162,84218,84160,84207,25,84082.7,84003.33,83913.24,83876.23,20.18,67.9,84162,83937,84218,2024-05-03 10:15:00+05:30,SILVERMIC 50_v2_v2,83906,2024-05-03 12:15:00+05:30
42,BUY,2024-05-03 18:00:00+05:30,83809,84650,83809,84351,331,83919.46,83935.77,83945.95,83930.03,22.96,75.36,83998,83745,84650,2024-05-03 18:00:00+05:30,SILVERMIC 50_v2_v2,83878,2024-05-03 18:35:00+05:30
43,BUY,2024-05-06 10:30:00+05:30,84610,84783,84610,84783,108,84502.66,84229.36,84070.78,83986.5,54.93,77.73,84730,83821,84783,2024-05-06 10:30:00+05:30,SILVERMIC 50_v2_v2,85544,2024-05-08 12:00:00+05:30
44,SELL,2024-05-08 19:25:00+05:30,85500,85500,85380,85400,19,85531.43,85533.07,85538.23,85534.69,24.79,38.69,85740,85407,85380,2024-05-08 19:25:00+05:30,SILVERMIC 50_v2_v2,85536,2024-05-08 19:30:00+05:30
45,BUY,2024-05-08 19:50:00+05:30,85650,85851,85650,85851,76,85569.02,85548.35,85545.46,85538.5,23.38,66.49,85705,85380,85851,2024-05-08 19:50:00+05:30,SILVERMIC 50_v2_v2,87600,2024-05-10 19:50:00+05:30
46,SELL,2024-05-13 09:40:00+05:30,87400,87400,87329,87329,49,87533.28,87618.58,87720.72,87635.74,29.28,31.57,87800,87381,87329,2024-05-13 09:40:00+05:30,SILVERMIC 50_v2_v2,87586,2024-05-13 12:40:00+05:30
47,SELL,2024-05-13 14:20:00+05:30,87450,87450,87400,87404,13,87536.47,87525.38,87567.62,87568.7,27.19,36.24,87688,87430,87400,2024-05-13 14:20:00+05:30,SILVERMIC 50_v2_v2,87624,2024-05-13 14:30:00+05:30
48,BUY,2024-05-13 17:40:00+05:30,87856,87938,87830,87905,43,87660.13,87594.85,87584.14,87576.1,22.46,76.72,87872,87462,87938,2024-05-13 17:40:00+05:30,SILVERMIC 50_v2_v2,87580,2024-05-13 20:30:00+05:30
49,BUY,2024-05-14 09:35:00+05:30,88113,88150,88113,88150,23,87907.96,87796.32,87738.37,87682.01,30.02,75.16,88144,87612,88150,2024-05-14 09:35:00+05:30,SILVERMIC 50_v2_v2,87895,2024-05-14 18:00:00+05:30
50,BUY,2024-05-15 09:10:00+05:30,88398,88469,88397,88469,93,88233.06,88177.48,88134.2,88046.95,20.07,78.52,88400,88040,88469,2024-05-15 09:10:00+05:30,SILVERMIC 50_v2_v2,88198,2024-05-15 19:20:00+05:30
51,BUY,2024-05-15 20:35:00+05:30,88927,89125,88927,89112,451,88690.78,88623.65,88541.25,88403.8,22.92,69.68,88944,88100,89125,2024-05-15 20:35:00+05:30,SILVERMIC 50_v2_v2,97339,2024-05-22 17:10:00+05:30
52,SELL,2024-05-22 19:35:00+05:30,97114,97114,96660,96660,312,97234.22,97382.91,97505.36,97426.18,32.7,29.42,97600,97001,96660,2024-05-22 19:35:00+05:30,SILVERMIC 50_v2_v2,95508,2024-05-23 19:05:00+05:30
